Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
0,3302,3594,76,TIT,"[(52, 15), (100, 15), (100, 44), (52, 44)]"
0,3302,3594,76,298P,"[(40, 61), (111, 62), (111, 88), (40, 87)]"
0,3302,3594,76,04,"[(57, 101), (91, 101), (91, 127), (57, 127)]"
1,3444,3714,73,TW,"[(48, 11), (97, 13), (96, 40), (47, 38)]"
1,3444,3714,73,298P,"[(36, 57), (109, 56), (109, 85), (36, 86)]"
1,3444,3714,73,04,"[(54, 98), (90, 98), (90, 123), (54, 123)]"
2,2218,1884,74,PI,"[(60, 14), (89, 14), (89, 40), (60, 40)]"
2,2218,1884,74,298P,"[(38, 58), (107, 58), (107, 87), (38, 87)]"
2,2218,1884,74,60,"[(60, 136), (60, 76), (87, 76), (87, 136)]"
2,2218,1884,74,02,"[(55, 98), (92, 98), (92, 125), (55, 125)]"
3,5568,3586,75,ΤΙ,"[(62, 15), (89, 15), (89, 43), (62, 43)]"
3,5568,3586,75,298P,"[(40, 61), (111, 61), (111, 86), (40, 86)]"
3,5568,3586,75,(,"[(48, 100), (65, 100), (65, 131), (48, 131)]"
3,5568,3586,75,01,"[(56, 100), (95, 100), (95, 131), (56, 131)]"
4,5838,3586,75,PI,"[(63, 17), (93, 17), (93, 42), (63, 42)]"
4,5838,3586,75,298P,"[(40, 61), (111, 60), (111, 87), (40, 88)]"
4,5838,3586,75,12,"[(60, 100), (96, 100), (96, 126), (60, 126)]"
5,5030,2364,75,SZSH,"[(33, 14), (112, 14), (112, 41), (33, 41)]"
5,5030,2364,75,298P,"[(38, 60), (109, 60), (109, 86), (38, 86)]"
5,5030,2364,75,02,"[(55, 98), (92, 98), (92, 127), (55, 127)]"
6,4806,2364,75,SZSL,"[(34, 14), (110, 14), (110, 41), (34, 41)]"
6,4806,2364,75,298P,"[(37, 60), (109, 60), (109, 86), (37, 86)]"
6,4806,2364,75,02,"[(54, 98), (92, 98), (92, 128), (54, 128)]"
7,5382,3586,74,TW,"[(50, 16), (96, 17), (96, 42), (50, 41)]"
7,5382,3586,74,298P,"[(36, 61), (108, 61), (108, 87), (36, 87)]"
7,5382,3586,74,015,"[(55, 99), (104, 100), (103, 129), (54, 128)]"
8,3172,3714,74,TE,"[(54, 14), (94, 15), (93, 43), (53, 42)]"
8,3172,3714,74,298P,"[(36, 58), (106, 58), (106, 84), (36, 84)]"
8,3172,3714,74,04,"[(55, 98), (89, 98), (89, 125), (55, 125)]"
