P&ID_Filename,Instrument_Tag,Instrument_Type,X_Coordinate,Y_Coordinate,Radius
P11671-11-71-08-1708-01.pdf,XFAB-573P-01-.-FIRE,XFAB,3846,1866,58
P11671-11-71-08-1708-01.pdf,XTGD-573P-06,XTGD,7690,1846,49
P11671-11-71-08-1708-01.pdf,SVZA-573P-02,SVZA,1890,2376,57
P11671-11-71-08-1708-01.pdf,AC-PANE-FOR-N2-PURG-TTINGS-OR-E-ONLY-FOR-CO-E-CONSIDER,AC,8474,1906,57
P11671-11-71-08-1708-01.pdf,XTGA-573P-03,XTGA,7158,1068,52
P11671-11-71-08-1708-01.pdf,SVZA-573P-03,SVZA,3206,1066,56
P11671-11-71-08-1708-01.pdf,PI-573P-03,PI,4382,848,40
P11671-11-71-08-1708-01.pdf,HS-573P-30B,HS,714,1070,48
P11671-11-71-08-1708-01.pdf,XGA-573P-45,XGA,6902,1068,47
P11671-11-71-08-1708-01.pdf,PSAL-573P-50-ILL-NOT,PSAL,7900,1068,53
P11671-11-71-08-1708-01.pdf,SZIH-573P-02,SZIH,2050,2382,46
P11671-11-71-08-1708-01.pdf,PSAH-573P-48-LL,PSAH,2808,1068,51
P11671-11-71-08-1708-01.pdf,XI-573P-30,XI,898,1068,53
P11671-11-71-08-1708-01.pdf,SVHO-573P-02,SVHO,2418,2380,53
P11671-11-71-08-1708-01.pdf,HS-573P-20B,HS,7362,1068,52
P11671-11-71-08-1708-01.pdf,SVHC-573P-02,SVHC,2232,2382,50
P11671-11-71-08-1708-01.pdf,SZIL-573P-02,SZIL,1704,2382,49
P11671-11-71-08-1708-01.pdf,SZIL-573P-.03,SZIL,3038,1070,47
P11671-11-71-08-1708-01.pdf,PSAL-573P-07,PSAL,5886,1104,47
P11671-11-71-08-1708-01.pdf,SVHO-573P-03,SVHO,3830,2380,40
P11671-11-71-08-1708-01.pdf,SVHC-573P-03-33,SVHC,3824,2556,48
P11671-11-71-08-1708-01.pdf,SZIH-573P-02,SZIH,1998,2382,45
P11671-11-71-08-1708-01.pdf,XMCA-573P-01,XMCA,7634,1066,57
P11671-11-71-08-1708-01.pdf,SSSV-OPEN-MEASUREM-FUSIBLE-PL-HEADER-(-3,SSSV,8250,3010,54
P11671-11-71-08-1708-01.pdf,PPHS-573P-01A,PPHS,1080,1070,48
P11671-11-71-08-1708-01.pdf,CVZI-573P-02,CVZI,4776,1066,56
P11671-11-71-08-1708-01.pdf,PI-573P-08,PI,1908,1066,56
P11671-11-71-08-1708-01.pdf,SY-573P-01,SY,2392,1066,56
P11671-11-71-08-1708-01.pdf,PIT-573P-03-TI,PIT,4338,3188,59
P11671-11-71-08-1708-01.pdf,PSAL-573P-07,PSAL,5936,1106,47
P11671-11-71-08-1708-01.pdf,PIT-573P-07,PIT,5636,4410,58
P11671-11-71-08-1708-01.pdf,SZIH-573P-.03,SZIH,3388,1070,50
P11671-11-71-08-1708-01.pdf,XI-573P-14,XI,1690,1066,56
P11671-11-71-08-1708-01.pdf,LE-ES-ESP-),LE,8534,6530,39
P11671-11-71-08-1708-01.pdf,PI-573P-06,PI,5572,3910,50
P11671-11-71-08-1708-01.pdf,VFD-,VFD,878,2220,47
P11671-11-71-08-1708-01.pdf,PSAL-573P-ԷՐ,PSAL,7852,1028,38
P11671-11-71-08-1708-01.pdf,PSAH-573P,PSAH,5398,1036,36
P11671-11-71-08-1708-01.pdf,PSAH-573P,PSAH,5404,490,36
P11671-11-71-08-1708-01.pdf,SSV-CLOS-ודו,SSV,2974,946,33
P11671-11-71-08-1708-01.pdf,"LE-,-BOL-1-99-08--PMENT",LE,8358,428,33
P11671-11-71-08-1708-01.pdf,TI-573P-01,TI,4976,1070,47
P11671-11-71-08-1708-01.pdf,PC,PC,8502,6244,21
P11671-11-71-08-1708-01.pdf,PSAH-573F,PSAH,2120,1036,25
P11671-11-71-08-1708-01.pdf,SZIH-573P,SZIH,3390,1392,27
P11671-11-71-08-1708-01.pdf,TC-NG,TC,8426,2624,21
P11671-11-71-08-1708-01.pdf,PE-:,PE,3454,628,28
